0.5340699815837937,0.008686907119757467,S3/prom0/artefacto/[24576 256 256 256 11],15-10-2024,Implmente MLP con ambas normalizaciones.
0.5591160220994474,0.006647714787395965,S3/prom0/artefacto/[24576 256 256 256 256 256 256 256 11],15-10-2024,Implmente MLP con ambas normalizaciones.
0.5979959919839679,0.015410026795161876,S4/minmax/modalidad/[24576 2],10-10-2024,Primer perceptron simple.
0.5627254509018036,0.11679894436872694,S4/minmax/modalidad/[24576 256 2],15-10-2024,Implmente MLP con ambas normalizaciones.
0.6064128256513026,0.009627584889350144,S4/minmax/modalidad/[24576 256 256 2],15-10-2024,Implmente MLP con ambas normalizaciones.
0.5967935871743487,0.012373025282912325,S4/minmax/modalidad/[24576 256 256 256 2],15-10-2024,Implmente MLP con ambas normalizaciones.
0.6304609218436874,0.014627885844404533,S4/minmax/modalidad/[24576 256 256 256 256 256 256 256 2],15-10-2024,Implmente MLP con ambas normalizaciones.
0.1378260869565217,0.005865538070970452,S4/minmax/estimulo/[24576 11],10-10-2024,Primer perceptron simple.
0.12565217391304348,0.0035187856643997054,S4/minmax/estimulo/[24576 256 11],15-10-2024,Implmente MLP con ambas normalizaciones.
0.13217391304347825,0.002892203194706536,S4/minmax/estimulo/[24576 256 256 11],15-10-2024,Implmente MLP con ambas normalizaciones.
0.12086956521739131,0.0010425720702853744,S4/minmax/estimulo/[24576 256 256 256 11],15-10-2024,Implmente MLP con ambas normalizaciones.
0.10260869565217393,0.006364035290567152,S4/minmax/estimulo/[24576 256 256 256 256 256 256 256 11],15-10-2024,Implmente MLP con ambas normalizaciones.
0.6304900181488203,0.008302961331178133,S4/minmax/artefacto/[24576 11],10-10-2024,Primer perceptron simple.
0.6141560798548094,0.009025275324251441,S4/minmax/artefacto/[24576 256 11],15-10-2024,Implmente MLP con ambas normalizaciones.
0.6294010889292195,0.012622240326235998,S4/minmax/artefacto/[24576 256 256 11],15-10-2024,Implmente MLP con ambas normalizaciones.
0.6246823956442832,0.008320793746894836,S4/minmax/artefacto/[24576 256 256 256 11],15-10-2024,Implmente MLP con ambas normalizaciones.
0.5963702359346643,0.016547305743249627,S4/minmax/artefacto/[24576 256 256 256 256 256 256 256 11],15-10-2024,Implmente MLP con ambas normalizaciones.
0.5567134268537075,0.0063908692260929816,S4/prom0/modalidad/[24576 2],14-10-2024,Cambi� normalizacion mixmax a abs_prom0.
0.5831663326653306,0.011616334065081715,S4/prom0/modalidad/[24576 256 2],15-10-2024,Implmente MLP con ambas normalizaciones.
0.5755511022044089,0.009478343559427237,S4/prom0/modalidad/[24576 256 256 2],15-10-2024,Implmente MLP con ambas normalizaciones.
0.569939879759519,0.007384980269614548,S4/prom0/modalidad/[24576 256 256 256 2],15-10-2024,Implmente MLP con ambas normalizaciones.
0.56312625250501,0.015110007812540524,S4/prom0/modalidad/[24576 256 256 256 256 256 256 256 2],15-10-2024,Implmente MLP con ambas normalizaciones.
0.11695652173913043,0.0023006533139692106,S4/prom0/estimulo/[24576 11],14-10-2024,Cambi� normalizacion mixmax a abs_prom0.
0.12391304347826089,0.005051717408096632,S4/prom0/estimulo/[24576 256 11],15-10-2024,Implmente MLP con ambas normalizaciones.
0.12347826086956522,0.007753284565272612,S4/prom0/estimulo/[24576 256 256 11],15-10-2024,Implmente MLP con ambas normalizaciones.
0.1269565217391304,0.005702120455914783,S4/prom0/estimulo/[24576 256 256 256 11],15-10-2024,Implmente MLP con ambas normalizaciones.
0.1108695652173913,0.006319322545108101,S4/prom0/estimulo/[24576 256 256 256 256 256 256 256 11],15-10-2024,Implmente MLP con ambas normalizaciones.
0.494010889292196,0.006998482571564006,S4/prom0/artefacto/[24576 11],14-10-2024,Cambi� normalizacion mixmax a abs_prom0.
0.5313974591651542,0.009666696178283685,S4/prom0/artefacto/[24576 256 11],15-10-2024,Implmente MLP con ambas normalizaciones.
0.5386569872958258,0.011841322960579794,S4/prom0/artefacto/[24576 256 256 11],15-10-2024,Implmente MLP con ambas normalizaciones.
0.5546279491833032,0.015938963159678163,S4/prom0/artefacto/[24576 256 256 256 11],15-10-2024,Implmente MLP con ambas normalizaciones.
0.5208711433756805,0.012475251438173794,S4/prom0/artefacto/[24576 256 256 256 256 256 256 256 11],15-10-2024,Implmente MLP con ambas normalizaciones.
0.40457380457380454,0.05754293186530127,S5/minmax/modalidad/[24576 2],10-10-2024,Primer perceptron simple.
0.4286902286902287,0.12261213299863633,S5/minmax/modalidad/[24576 256 2],15-10-2024,Implmente MLP con ambas normalizaciones.
0.36632016632016634,0.08768534783589993,S5/minmax/modalidad/[24576 256 256 2],15-10-2024,Implmente MLP con ambas normalizaciones.
0.33264033264033266,0.09271743265392997,S5/minmax/modalidad/[24576 256 256 256 2],15-10-2024,Implmente MLP con ambas normalizaciones.
0.5883575883575884,0.10122092999865735,S5/minmax/modalidad/[24576 256 256 256 256 256 256 256 2],15-10-2024,Implmente MLP con ambas normalizaciones.
0.10221238938053098,0.004729548302307953,S5/minmax/estimulo/[24576 11],10-10-2024,Primer perceptron simple.
0.09292035398230089,0.0045069798202352586,S5/minmax/estimulo/[24576 256 11],15-10-2024,Implmente MLP con ambas normalizaciones.
0.09424778761061947,0.0028245896758415266,S5/minmax/estimulo/[24576 256 256 11],15-10-2024,Implmente MLP con ambas normalizaciones.
0.09292035398230089,0.003601508981437988,S5/minmax/estimulo/[24576 256 256 256 11],15-10-2024,Implmente MLP con ambas normalizaciones.
0.09469026548672566,0.002859037164451345,S5/minmax/estimulo/[24576 256 256 256 256 256 256 256 11],15-10-2024,Implmente MLP con ambas normalizaciones.
0.5712418300653596,0.036544852197105765,S5/minmax/artefacto/[24576 11],10-10-2024,Primer perceptron simple.
0.5372549019607843,0.03425956232915605,S5/minmax/artefacto/[24576 256 11],15-10-2024,Implmente MLP con ambas normalizaciones.
0.47494553376906323,0.04503800746979872,S5/minmax/artefacto/[24576 256 256 11],15-10-2024,Implmente MLP con ambas normalizaciones.
0.41655773420479303,0.03485294075088666,S5/minmax/artefacto/[24576 256 256 256 11],15-10-2024,Implmente MLP con ambas normalizaciones.
0.47581699346405226,0.04283027143244681,S5/minmax/artefacto/[24576 256 256 256 256 256 256 256 11],15-10-2024,Implmente MLP con ambas normalizaciones.
0.6544698544698544,0.014391740789918325,S5/prom0/modalidad/[24576 2],14-10-2024,Cambi� normalizacion mixmax a abs_prom0.
0.6498960498960499,0.00906931148074313,S5/prom0/modalidad/[24576 256 2],15-10-2024,Implmente MLP con ambas normalizaciones.
0.6528066528066527,0.0065083059636168545,S5/prom0/modalidad/[24576 256 256 2],15-10-2024,Implmente MLP con ambas normalizaciones.
0.6083160083160083,0.004424905749229263,S5/prom0/modalidad/[24576 256 256 256 2],15-10-2024,Implmente MLP con ambas normalizaciones.
0.6220374220374221,0.006050574723848333,S5/prom0/modalidad/[24576 256 256 256 256 256 256 256 2],15-10-2024,Implmente MLP con ambas normalizaciones.
0.10796460176991149,0.002178950841105333,S5/prom0/estimulo/[24576 11],14-10-2024,Cambi� normalizacion mixmax a abs_prom0.
0.1075221238938053,0.0026456329077657963,S5/prom0/estimulo/[24576 256 11],15-10-2024,Implmente MLP con ambas normalizaciones.
0.10530973451327434,0.004961872011505708,S5/prom0/estimulo/[24576 256 256 11],15-10-2024,Implmente MLP con ambas normalizaciones.
0.1084070796460177,0.007065805054279343,S5/prom0/estimulo/[24576 256 256 256 11],15-10-2024,Implmente MLP con ambas normalizaciones.
0.09690265486725662,0.0023930650058389302,S5/prom0/estimulo/[24576 256 256 256 256 256 256 256 11],15-10-2024,Implmente MLP con ambas normalizaciones.
0.48017429193899785,0.0056308705809673615,S5/prom0/artefacto/[24576 11],14-10-2024,Cambi� normalizacion mixmax a abs_prom0.
0.5381263616557733,0.0036455774576648146,S5/prom0/artefacto/[24576 256 11],15-10-2024,Implmente MLP con ambas normalizaciones.
0.5342047930283224,0.006169848478651983,S5/prom0/artefacto/[24576 256 256 11],15-10-2024,Implmente MLP con ambas normalizaciones.
0.5777777777777777,0.007846162573145573,S5/prom0/artefacto/[24576 256 256 256 11],15-10-2024,Implmente MLP con ambas normalizaciones.
0.584313725490196,0.007831024294384066,S5/prom0/artefacto/[24576 256 256 256 256 256 256 256 11],15-10-2024,Implmente MLP con ambas normalizaciones.
0.5713131313131312,0.00864684224607381,S6/minmax/modalidad/[24576 2],10-10-2024,Primer perceptron simple.
0.3018181818181818,0.09342380502949536,S6/minmax/modalidad/[24576 256 2],15-10-2024,Implmente MLP con ambas normalizaciones.
